customerID;SeniorCitizen;tenure;Contract;PaymentMethod;MonthlyCharges;Churn;tenure_group;auto_payment
8012-SOUDQ;Yes;43;Month-to-month;Electronic check;90.25;No;> 2 anos;Manual
9420-LOJKX;No;15;Month-to-month;Credit card (automatic);99.1;Yes;1-2 anos;Automatico
6575-SUVOI;Yes;25;Month-to-month;Credit card (automatic);69.5;No;> 2 anos;Automatico
7495-OOKFY;Yes;8;Month-to-month;Credit card (automatic);80.65;Yes;< 1 ano;Automatico
4667-QONEA;Yes;60;One year;Credit card (automatic);74.85;No;> 2 anos;Automatico
1658-BYGOY;Yes;18;Month-to-month;Electronic check;95.45;Yes;1-2 anos;Manual
8769-KKTPH;No;63;One year;Credit card (automatic);99.65;No;> 2 anos;Automatico
5067-XJQFU;Yes;66;One year;Electronic check;108.45;No;> 2 anos;Manual
3957-SQXML;No;34;Two year;Credit card (automatic);24.95;No;> 2 anos;Automatico
5954-BDFSG;No;72;Two year;Credit card (automatic);107.5;No;> 2 anos;Automatico
0434-CSFON;No;47;Month-to-month;Electronic check;100.5;No;> 2 anos;Manual
1215-FIGMP;No;60;Month-to-month;Bank transfer (automatic);89.9;No;> 2 anos;Automatico
0526-SXDJP;No;72;Two year;Bank transfer (automatic);42.1;No;> 2 anos;Automatico
0557-ASKVU;No;18;One year;Credit card (automatic);54.4;No;1-2 anos;Automatico
5698-BQJOH;No;9;Month-to-month;Electronic check;94.4;Yes;< 1 ano;Manual
5122-CYFXA;No;3;Month-to-month;Electronic check;75.3;No;< 1 ano;Manual
8627-ZYGSZ;No;47;One year;Electronic check;78.9;No;> 2 anos;Manual
3410-YOQBQ;No;31;Two year;Mailed check;79.2;No;> 2 anos;Manual
3170-NMYVV;No;50;Two year;Bank transfer (automatic);20.15;No;> 2 anos;Automatico
7410-OIEDU;No;10;Month-to-month;Mailed check;79.85;No;< 1 ano;Manual
2273-QCKXA;No;1;Month-to-month;Mailed check;49.05;No;< 1 ano;Manual
0731-EBJQB;No;52;One year;Electronic check;20.4;No;> 2 anos;Manual
1891-QRQSA;Yes;64;Two year;Bank transfer (automatic);111.6;No;> 2 anos;Automatico
8028-PNXHQ;No;62;Two year;Bank transfer (automatic);24.25;No;> 2 anos;Automatico
5630-AHZIL;No;3;Month-to-month;Bank transfer (automatic);64.5;No;< 1 ano;Automatico
2673-CXQEU;Yes;56;One year;Electronic check;110.5;No;> 2 anos;Manual
6416-JNVRK;No;46;One year;Credit card (automatic);55.65;No;> 2 anos;Automatico
5590-ZSKRV;No;8;Month-to-month;Mailed check;54.65;No;< 1 ano;Manual
0191-ZHSKZ;Yes;30;Month-to-month;Electronic check;74.75;No;> 2 anos;Manual
3887-PBQAO;No;45;One year;Credit card (automatic);25.9;No;> 2 anos;Automatico
5919-TMRGD;No;1;Month-to-month;Electronic check;79.35;Yes;< 1 ano;Manual
8108-UXRQN;No;11;Month-to-month;Electronic check;50.55;No;< 1 ano;Manual
9191-MYQKX;No;7;Month-to-month;Bank transfer (automatic);75.15;Yes;< 1 ano;Automatico
9919-YLNNG;No;42;Month-to-month;Bank transfer (automatic);103.8;No;> 2 anos;Automatico
0318-ZOPWS;No;49;Two year;Bank transfer (automatic);20.15;No;> 2 anos;Automatico
4445-ZJNMU;No;9;Month-to-month;Credit card (automatic);99.3;No;< 1 ano;Automatico
4808-YNLEU;No;35;One year;Bank transfer (automatic);62.15;No;> 2 anos;Automatico
1862-QRWPE;No;48;Two year;Bank transfer (automatic);20.65;No;> 2 anos;Automatico
2796-NNUFI;No;46;Two year;Mailed check;19.95;No;> 2 anos;Manual
3016-KSVCP;No;29;Month-to-month;Mailed check;33.75;No;> 2 anos;Manual
4767-HZZHQ;No;30;Month-to-month;Bank transfer (automatic);82.05;No;> 2 anos;Automatico
2424-WVHPL;Yes;1;Month-to-month;Electronic check;74.7;No;< 1 ano;Manual
7233-PAHHL;No;66;Two year;Mailed check;84;No;> 2 anos;Manual
6067-NGCEU;No;65;Month-to-month;Credit card (automatic);111.05;No;> 2 anos;Automatico
9848-JQJTX;No;72;Two year;Bank transfer (automatic);100.9;No;> 2 anos;Automatico
8637-XJIVR;No;12;Month-to-month;Electronic check;78.95;Yes;1-2 anos;Manual
9803-FTJCG;No;71;One year;Credit card (automatic);66.85;No;> 2 anos;Automatico
0278-YXOOG;No;5;Month-to-month;Mailed check;21.05;Yes;< 1 ano;Manual
3212-KXOCR;No;52;Two year;Bank transfer (automatic);21;No;> 2 anos;Automatico
4598-XLKNJ;Yes;25;Month-to-month;Electronic check;98.5;Yes;> 2 anos;Manual
6380-ARCEH;No;1;Month-to-month;Mailed check;20.2;No;< 1 ano;Manual
3679-XASPY;No;1;Month-to-month;Electronic check;19.45;No;< 1 ano;Manual
7123-WQUHX;No;38;One year;Bank transfer (automatic);95;No;> 2 anos;Automatico
5386-THSLQ;Yes;66;One year;Bank transfer (automatic);45.55;No;> 2 anos;Automatico
3192-NQECA;No;68;Two year;Bank transfer (automatic);110;Yes;> 2 anos;Automatico
6180-YBIQI;No;5;Month-to-month;Mailed check;24.3;No;< 1 ano;Manual
6728-DKUCO;No;72;One year;Electronic check;104.15;No;> 2 anos;Manual
9750-BOOHV;No;32;One year;Mailed check;30.15;No;> 2 anos;Manual
8597-CWYHH;No;43;One year;Mailed check;94.35;No;> 2 anos;Manual
2848-YXSMW;No;72;Two year;Credit card (automatic);19.4;No;> 2 anos;Automatico
0486-HECZI;No;55;Month-to-month;Electronic check;96.75;Yes;> 2 anos;Manual
4549-ZDQYY;No;52;One year;Credit card (automatic);57.95;No;> 2 anos;Automatico
5712-AHQNN;No;43;Month-to-month;Electronic check;91.65;No;> 2 anos;Manual
4846-WHAFZ;Yes;37;Month-to-month;Electronic check;76.5;Yes;> 2 anos;Manual
5256-SKJGO;No;64;Two year;Electronic check;54.6;No;> 2 anos;Manual
3071-VBYPO;No;3;Month-to-month;Electronic check;89.85;No;< 1 ano;Manual
9560-BBZXK;No;36;Two year;Bank transfer (automatic);31.05;No;> 2 anos;Automatico
5299-RULOA;No;10;Month-to-month;Electronic check;100.25;Yes;< 1 ano;Manual
8402-OOOHJ;No;41;Two year;Mailed check;20.65;No;> 2 anos;Manual
9445-ZUEQE;No;27;Month-to-month;Credit card (automatic);85.2;No;> 2 anos;Automatico
1091-SOZGA;No;56;One year;Credit card (automatic);99.8;No;> 2 anos;Automatico
2928-HLDBA;No;6;Month-to-month;Mailed check;20.7;No;< 1 ano;Manual
0404-SWRVG;No;3;Month-to-month;Electronic check;74.4;Yes;< 1 ano;Manual
6497-TILVL;No;7;Month-to-month;Mailed check;50.7;No;< 1 ano;Manual
7219-TLZHO;No;4;Month-to-month;Mailed check;20.85;No;< 1 ano;Manual
4622-YNKIJ;No;33;Two year;Electronic check;88.95;No;> 2 anos;Manual
4412-YLTKF;Yes;27;Month-to-month;Electronic check;78.05;Yes;> 2 anos;Manual
6734-PSBAW;No;72;Two year;Bank transfer (automatic);23.55;No;> 2 anos;Automatico
3930-ZGWVE;No;1;Month-to-month;Mailed check;19.75;No;< 1 ano;Manual
2639-UGMAZ;Yes;71;One year;Electronic check;56.45;No;> 2 anos;Manual
2876-GZYZC;No;13;Month-to-month;Electronic check;85.95;No;1-2 anos;Manual
6207-WIOLX;No;25;Month-to-month;Credit card (automatic);58.6;Yes;> 2 anos;Automatico
8587-XYZSF;No;67;Two year;Bank transfer (automatic);50.55;No;> 2 anos;Automatico
3091-FYHKI;No;1;Month-to-month;Electronic check;35.45;Yes;< 1 ano;Manual
2372-HWUHI;No;2;Month-to-month;Electronic check;44.35;Yes;< 1 ano;Manual
7799-LGRDP;No;43;Two year;Credit card (automatic);25.7;No;> 2 anos;Automatico
7850-VWJUU;No;23;Month-to-month;Bank transfer (automatic);75;No;1-2 anos;Automatico
3774-VBNXY;No;64;Two year;Mailed check;20.2;No;> 2 anos;Manual
6217-KDYWC;No;57;Two year;Mailed check;19.6;No;> 2 anos;Manual
0390-DCFDQ;Yes;1;Month-to-month;Mailed check;70.45;Yes;< 1 ano;Manual
3146-MSEGF;Yes;72;Two year;Credit card (automatic);88.05;No;> 2 anos;Automatico
4080-OGPJL;No;8;Month-to-month;Electronic check;71.15;Yes;< 1 ano;Manual
1095-WGNGG;No;61;Two year;Bank transfer (automatic);101.05;No;> 2 anos;Automatico
2636-SJDOU;No;64;One year;Credit card (automatic);84.3;No;> 2 anos;Automatico
1131-QQZEB;Yes;71;Two year;Bank transfer (automatic);23.95;No;> 2 anos;Automatico
5716-EZXZN;No;65;Two year;Credit card (automatic);99.05;No;> 2 anos;Automatico
6837-BJYDQ;No;3;One year;Mailed check;19.6;No;< 1 ano;Manual
2135-RXIHG;No;1;Month-to-month;Electronic check;45.65;Yes;< 1 ano;Manual
6440-DKQGE;No;30;One year;Credit card (automatic);64.5;No;> 2 anos;Automatico
3466-BYAVD;No;15;Month-to-month;Mailed check;69.5;No;1-2 anos;Manual
3780-YVMFA;No;8;Month-to-month;Electronic check;68.55;No;< 1 ano;Manual
3874-EQOEP;No;7;Month-to-month;Mailed check;95;Yes;< 1 ano;Manual
1679-JRFBR;No;70;One year;Credit card (automatic);108.15;No;> 2 anos;Automatico
9073-ZZIAY;No;62;Two year;Electronic check;86.1;No;> 2 anos;Manual
3077-RSNTJ;No;6;Month-to-month;Mailed check;19.7;No;< 1 ano;Manual
6551-GNYDG;No;14;Month-to-month;Bank transfer (automatic);80.9;No;1-2 anos;Automatico
9167-APMXZ;No;22;Month-to-month;Bank transfer (automatic);84.15;No;1-2 anos;Automatico
2749-CTKAJ;No;22;One year;Mailed check;20.15;No;1-2 anos;Manual
6371-NZYEG;No;16;Two year;Mailed check;64.25;No;1-2 anos;Manual
7554-NEWDD;No;10;Two year;Bank transfer (automatic);25.7;No;< 1 ano;Automatico
8992-VONJD;No;13;Month-to-month;Electronic check;56;No;1-2 anos;Manual
0867-MKZVY;No;20;Month-to-month;Electronic check;82.4;Yes;1-2 anos;Manual
4482-EWFMI;No;2;Month-to-month;Electronic check;69.7;No;< 1 ano;Manual
4648-YPBTM;No;53;Two year;Bank transfer (automatic);73.9;No;> 2 anos;Automatico
2907-ILJBN;No;11;One year;Mailed check;20.6;No;< 1 ano;Manual
6345-FZOQH;No;69;Two year;Mailed check;19.9;No;> 2 anos;Manual
3376-BMGFE;No;4;Month-to-month;Bank transfer (automatic);70.9;Yes;< 1 ano;Automatico
5997-OPVFA;No;72;Two year;Bank transfer (automatic);89.05;No;> 2 anos;Automatico
3445-HXXGF;Yes;58;Month-to-month;Electronic check;45.3;Yes;> 2 anos;Manual
1159-WFSGR;No;16;Month-to-month;Electronic check;20.4;No;1-2 anos;Manual
7654-YWJUF;No;43;One year;Bank transfer (automatic);84.25;No;> 2 anos;Automatico
1875-QIVME;No;2;Month-to-month;Electronic check;104.4;Yes;< 1 ano;Manual
6727-IOTLZ;No;14;Two year;Mailed check;81.95;No;1-2 anos;Manual
0691-JVSYA;No;53;One year;Bank transfer (automatic);94.85;Yes;> 2 anos;Automatico
5918-VUKWP;No;32;One year;Bank transfer (automatic);20.55;No;> 2 anos;Automatico
1744-JHKYS;No;34;Month-to-month;Electronic check;24.7;No;> 2 anos;Manual
2656-FMOKZ;Yes;15;Month-to-month;Mailed check;74.45;Yes;1-2 anos;Manual
2070-FNEXE;Yes;7;Month-to-month;Bank transfer (automatic);76.45;Yes;< 1 ano;Automatico
5947-SGKCL;No;15;Month-to-month;Bank transfer (automatic);105.35;No;1-2 anos;Automatico
3712-PKXZA;No;61;One year;Credit card (automatic);20.55;No;> 2 anos;Automatico
6317-YPKDH;No;1;Month-to-month;Bank transfer (automatic);29.95;Yes;< 1 ano;Automatico
6582-OIVSP;No;1;Month-to-month;Mailed check;45.3;No;< 1 ano;Manual
9367-WXLCH;No;8;Month-to-month;Bank transfer (automatic);84.5;Yes;< 1 ano;Automatico
5524-KHNJP;No;33;One year;Credit card (automatic);74.75;No;> 2 anos;Automatico
1918-ZBFQJ;No;13;Month-to-month;Electronic check;79.25;Yes;1-2 anos;Manual
1024-GUALD;No;1;Month-to-month;Electronic check;24.8;Yes;< 1 ano;Manual
4827-USJHP;No;20;Month-to-month;Mailed check;51.8;No;1-2 anos;Manual
8167-GJLRN;No;3;Month-to-month;Electronic check;30.4;No;< 1 ano;Manual
0956-SYCWG;No;13;One year;Electronic check;19.65;No;1-2 anos;Manual
8017-UVSZU;No;40;Month-to-month;Credit card (automatic);56.6;No;> 2 anos;Automatico
7100-FQPRV;No;43;One year;Credit card (automatic);71.9;No;> 2 anos;Automatico
2472-OVKUP;No;6;Month-to-month;Electronic check;91;Yes;< 1 ano;Manual
2984-RGEYA;No;69;Two year;Bank transfer (automatic);19.75;No;> 2 anos;Automatico
9680-NIAUV;No;72;Two year;Credit card (automatic);109.7;No;> 2 anos;Automatico
2146-EGVDT;No;59;Two year;Credit card (automatic);19.3;No;> 2 anos;Automatico
2604-IJPDU;No;20;Month-to-month;Electronic check;96.55;No;1-2 anos;Manual
9178-JHUVJ;No;24;Two year;Bank transfer (automatic);24.1;No;> 2 anos;Automatico
6168-YBYNP;No;59;Month-to-month;Electronic check;111.35;No;> 2 anos;Manual
7255-SSFBC;No;72;Two year;Bank transfer (automatic);112.25;No;> 2 anos;Automatico
3645-DEYGF;No;1;Month-to-month;Mailed check;20.75;No;< 1 ano;Manual
9323-HGFWY;No;27;One year;Credit card (automatic);101.9;No;> 2 anos;Automatico
8544-GOQSH;No;14;Month-to-month;Credit card (automatic);80.05;No;1-2 anos;Automatico
3363-DTIVD;No;71;Two year;Electronic check;105.55;No;> 2 anos;Manual
7018-WBJNK;No;13;Month-to-month;Credit card (automatic);78.3;No;1-2 anos;Automatico
9142-KZXOP;No;44;Month-to-month;Credit card (automatic);68.85;No;> 2 anos;Automatico
7674-YTAFD;No;33;One year;Bank transfer (automatic);79.95;No;> 2 anos;Automatico
6348-SNFUS;No;72;Two year;Credit card (automatic);55.45;No;> 2 anos;Automatico
1285-OKIPP;No;1;Month-to-month;Electronic check;79.9;Yes;< 1 ano;Manual
7825-ECJRF;No;19;Month-to-month;Electronic check;106.6;Yes;1-2 anos;Manual
1347-KTTTA;No;64;One year;Credit card (automatic);102.45;No;> 2 anos;Automatico
7841-TZDMQ;No;2;Month-to-month;Credit card (automatic);46;Yes;< 1 ano;Automatico
4195-NZGTA;No;1;Month-to-month;Electronic check;25.25;No;< 1 ano;Manual
7157-SMCFK;No;61;Two year;Mailed check;19.75;No;> 2 anos;Manual
4709-LKHYG;No;29;One year;Electronic check;20;No;> 2 anos;Manual
2504-DSHIH;Yes;23;Month-to-month;Electronic check;86.8;No;1-2 anos;Manual
0699-NDKJM;No;57;Month-to-month;Bank transfer (automatic);58.75;No;> 2 anos;Automatico
9286-BHDQG;No;72;Two year;Credit card (automatic);45.25;No;> 2 anos;Automatico
0230-WEQUW;No;66;Two year;Bank transfer (automatic);56.6;No;> 2 anos;Automatico
2040-LDIWQ;No;65;Two year;Bank transfer (automatic);84.2;No;> 2 anos;Automatico
6496-JDSSB;No;8;Month-to-month;Bank transfer (automatic);80;No;< 1 ano;Automatico
9408-SSNVZ;No;4;Month-to-month;Electronic check;70.15;Yes;< 1 ano;Manual
4443-EMBNA;No;71;Two year;Bank transfer (automatic);24.75;No;> 2 anos;Automatico
6469-MRVET;No;1;One year;Electronic check;20.2;No;< 1 ano;Manual
0742-MOABM;No;4;Month-to-month;Mailed check;50.05;Yes;< 1 ano;Manual
5961-VUSRV;No;12;One year;Bank transfer (automatic);19.35;No;1-2 anos;Automatico
6778-JFCMK;No;24;One year;Mailed check;50.6;No;> 2 anos;Manual
6341-JVQGF;No;31;One year;Mailed check;81.15;No;> 2 anos;Manual
2232-DMLXU;No;1;Month-to-month;Mailed check;55.2;Yes;< 1 ano;Manual
4811-JBUVU;No;30;Month-to-month;Credit card (automatic);89.9;No;> 2 anos;Automatico
0945-TSONX;No;47;Two year;Credit card (automatic);85.3;No;> 2 anos;Automatico
2651-ZCBXV;No;54;Two year;Credit card (automatic);108;No;> 2 anos;Automatico
3316-UWXUY;No;50;Month-to-month;Credit card (automatic);93.5;No;> 2 anos;Automatico
8937-RDTHP;No;1;Month-to-month;Mailed check;84.6;Yes;< 1 ano;Manual
7083-MIOPC;No;72;Two year;Credit card (automatic);20.25;No;> 2 anos;Automatico
1984-GPTEH;No;29;Month-to-month;Electronic check;25.15;No;> 2 anos;Manual
1251-KRREG;No;2;Month-to-month;Mailed check;54.4;Yes;< 1 ano;Manual
0621-JFHOL;No;10;Two year;Mailed check;29.6;No;< 1 ano;Manual
9903-LYSAB;No;18;Month-to-month;Electronic check;73.15;No;1-2 anos;Manual
0094-OIFMO;Yes;11;Month-to-month;Electronic check;95;Yes;< 1 ano;Manual
9227-UAQFT;No;16;Two year;Mailed check;19.75;No;1-2 anos;Manual
7301-ABVAD;No;72;Two year;Bank transfer (automatic);86.6;No;> 2 anos;Automatico
6614-FHDBO;No;72;Two year;Bank transfer (automatic);109.2;No;> 2 anos;Automatico
7576-ASEJU;No;41;One year;Credit card (automatic);74.7;No;> 2 anos;Automatico
9058-HRZSV;Yes;65;Month-to-month;Electronic check;94.4;No;> 2 anos;Manual
4522-AKYLR;Yes;13;Month-to-month;Electronic check;54.8;No;1-2 anos;Manual
0221-WMXNQ;Yes;4;Month-to-month;Electronic check;75.35;No;< 1 ano;Manual
0303-UNCIP;No;41;One year;Mailed check;65;No;> 2 anos;Manual
9947-OTFQU;Yes;15;Month-to-month;Electronic check;74.4;Yes;1-2 anos;Manual
0322-YINQP;No;1;Month-to-month;Mailed check;48.55;Yes;< 1 ano;Manual
0959-WHOKV;No;42;One year;Electronic check;99;No;> 2 anos;Manual
4075-JFPGR;No;51;One year;Electronic check;93.5;No;> 2 anos;Manual
4629-NRXKX;No;2;Month-to-month;Electronic check;70.4;Yes;< 1 ano;Manual
9514-JDSKI;Yes;1;Month-to-month;Electronic check;40.2;Yes;< 1 ano;Manual
3282-ZISZV;No;32;One year;Credit card (automatic);83.7;No;> 2 anos;Automatico
3675-YDUPJ;No;10;Month-to-month;Mailed check;19.85;No;< 1 ano;Manual
4111-BNXIF;No;67;Two year;Electronic check;59.55;No;> 2 anos;Manual
7017-VFHAY;No;61;Two year;Credit card (automatic);115.1;No;> 2 anos;Automatico
6655-LHBYW;No;50;One year;Credit card (automatic);114.35;No;> 2 anos;Automatico
4959-JOSRX;No;2;Month-to-month;Credit card (automatic);44.6;Yes;< 1 ano;Automatico
5046-NUHWD;Yes;29;Month-to-month;Electronic check;45;No;> 2 anos;Manual
7273-TEFQD;Yes;3;Month-to-month;Electronic check;41.15;Yes;< 1 ano;Manual
3606-TWKGI;Yes;13;Month-to-month;Electronic check;106.9;Yes;1-2 anos;Manual
7529-ZDFXI;Yes;57;Month-to-month;Electronic check;89.85;No;> 2 anos;Manual
7605-BDWDC;No;31;Two year;Bank transfer (automatic);49.85;No;> 2 anos;Automatico
1950-KSVVJ;No;45;One year;Mailed check;113.3;No;> 2 anos;Manual
0123-CRBRT;No;61;Two year;Mailed check;88.1;No;> 2 anos;Manual
6292-TOSSS;No;50;Two year;Bank transfer (automatic);24.9;No;> 2 anos;Automatico
3197-ARFOY;Yes;19;Month-to-month;Mailed check;105;No;1-2 anos;Manual
6323-AYBRX;No;59;Two year;Mailed check;19.35;Yes;> 2 anos;Manual
7014-ZZXAW;No;71;Two year;Credit card (automatic);24.25;No;> 2 anos;Automatico
4385-GZQXV;Yes;16;Month-to-month;Electronic check;94.45;Yes;1-2 anos;Manual
7633-MVPUY;No;57;Two year;Electronic check;59.75;No;> 2 anos;Manual
6366-ZGQGL;No;1;Month-to-month;Bank transfer (automatic);24.8;Yes;< 1 ano;Automatico
4716-HHKQH;Yes;20;Month-to-month;Electronic check;107.05;No;1-2 anos;Manual
5940-AHUHD;No;1;Month-to-month;Mailed check;70.6;Yes;< 1 ano;Manual
6432-TWQLB;No;5;Month-to-month;Electronic check;85.4;Yes;< 1 ano;Manual
4484-GLZOU;No;52;Month-to-month;Electronic check;105.05;Yes;> 2 anos;Manual
3179-GBRWV;Yes;21;Month-to-month;Bank transfer (automatic);64.95;No;1-2 anos;Automatico
8645-KWHJO;No;14;Month-to-month;Electronic check;55;No;1-2 anos;Manual
4130-MZLCC;No;5;Month-to-month;Bank transfer (automatic);50.55;No;< 1 ano;Automatico
0314-TKOSI;No;6;Month-to-month;Mailed check;55.15;No;< 1 ano;Manual
8229-MYEJZ;No;10;Month-to-month;Electronic check;51.2;No;< 1 ano;Manual
2080-SRCDE;No;1;Month-to-month;Mailed check;25.4;No;< 1 ano;Manual
9577-WJVCQ;No;68;Month-to-month;Mailed check;54.45;No;> 2 anos;Manual
9512-UIBFX;No;18;Month-to-month;Mailed check;95.15;Yes;1-2 anos;Manual
6202-DYYFX;No;22;One year;Credit card (automatic);76;No;1-2 anos;Automatico
3808-HFKDE;No;20;Month-to-month;Electronic check;44.35;No;1-2 anos;Manual
5583-SXDAG;No;1;Month-to-month;Electronic check;70;Yes;< 1 ano;Manual
3488-PGMQJ;Yes;8;Month-to-month;Electronic check;74.5;Yes;< 1 ano;Manual
3580-REOAC;No;10;Month-to-month;Credit card (automatic);44.85;Yes;< 1 ano;Automatico
7534-BFESC;Yes;24;Month-to-month;Electronic check;76.1;Yes;> 2 anos;Manual
3727-OWVYD;No;35;One year;Mailed check;61.2;No;> 2 anos;Manual
2294-SALNE;No;23;One year;Mailed check;86.8;No;1-2 anos;Manual
4847-TAJYI;Yes;6;Month-to-month;Electronic check;89.35;No;< 1 ano;Manual
1563-IWQEX;No;12;Month-to-month;Mailed check;19.7;No;1-2 anos;Manual
8203-XJZRC;No;1;Month-to-month;Mailed check;20.25;No;< 1 ano;Manual
6556-DBKZF;No;71;Two year;Electronic check;76.05;No;> 2 anos;Manual
6851-WEFYX;Yes;35;Month-to-month;Electronic check;100.8;No;> 2 anos;Manual
2985-JUUBZ;No;40;Month-to-month;Electronic check;74.55;No;> 2 anos;Manual
6390-DSAZX;No;1;Month-to-month;Mailed check;73.6;Yes;< 1 ano;Manual
0895-LMRSF;No;23;One year;Bank transfer (automatic);64.9;No;1-2 anos;Automatico
8098-LLAZX;Yes;4;Month-to-month;Electronic check;95.45;Yes;< 1 ano;Manual
8266-VBFQL;No;4;Month-to-month;Electronic check;90.4;No;< 1 ano;Manual
8181-YHCMF;No;68;Two year;Credit card (automatic);60.3;No;> 2 anos;Automatico
2240-HSJQD;No;38;Month-to-month;Mailed check;81.85;No;> 2 anos;Manual
1248-DYXUB;No;52;Two year;Mailed check;24.8;No;> 2 anos;Manual
0265-EDXBD;Yes;32;Month-to-month;Electronic check;74.9;Yes;> 2 anos;Manual
4115-BNPJY;No;29;Two year;Mailed check;75.55;No;> 2 anos;Manual
3167-SNQPL;Yes;38;Month-to-month;Electronic check;101.15;No;> 2 anos;Manual
4091-TVOCN;No;48;One year;Credit card (automatic);78.75;No;> 2 anos;Automatico
1098-TDVUQ;No;1;Month-to-month;Bank transfer (automatic);19.25;No;< 1 ano;Automatico
7277-OZCGZ;No;22;Month-to-month;Electronic check;89.05;No;1-2 anos;Manual
1557-EMYVT;No;43;Two year;Credit card (automatic);115.05;No;> 2 anos;Automatico
