customerID;SeniorCitizen;tenure;Contract;PaymentMethod;MonthlyCharges;Churn;tenure_group;auto_payment;churn_prob;pred
8847-GEOOQ;No;60;Month-to-month;Bank transfer (automatic);60.2;No;> 2 anos;Automatico;0.08860867336972546;No
0256-LTHVJ;No;28;Month-to-month;Electronic check;81.05;Yes;> 2 anos;Manual;0.4255159835575032;Yes
4719-UMSIY;No;6;Month-to-month;Mailed check;19.65;No;< 1 ano;Manual;0.22883471621363327;No
6614-VBEGU;No;24;Month-to-month;Bank transfer (automatic);69.45;No;> 2 anos;Automatico;0.3073539274329754;Yes
0880-TKATG;No;4;Month-to-month;Electronic check;101.15;Yes;< 1 ano;Manual;0.7492942390115244;Yes
1480-BKXGA;Yes;72;Two year;Bank transfer (automatic);116.05;No;> 2 anos;Automatico;0.07167649035794971;No
4640-UHDOS;No;13;Month-to-month;Electronic check;55.95;Yes;1-2 anos;Manual;0.38622574782648444;Yes
0306-JAELE;No;5;Month-to-month;Electronic check;96.1;Yes;< 1 ano;Manual;0.7152399176555675;Yes
5168-MQQCA;No;72;One year;Bank transfer (automatic);108.5;No;> 2 anos;Automatico;0.07969859059088655;No
7971-HLVXI;No;72;Two year;Credit card (automatic);84.5;No;> 2 anos;Automatico;0.020469185392687907;No
9094-AZPHK;No;15;Month-to-month;Electronic check;100.15;No;1-2 anos;Manual;0.6639924869601179;Yes
8372-JUXUI;No;1;Month-to-month;Electronic check;74.35;Yes;< 1 ano;Manual;0.6139044391492685;Yes
6579-JPICP;No;1;Month-to-month;Mailed check;20.4;No;< 1 ano;Manual;0.26527447293495227;Yes
7783-YKGDV;No;12;Month-to-month;Bank transfer (automatic);99.7;Yes;1-2 anos;Automatico;0.6082745699320317;Yes
4513-CXYIX;Yes;71;Two year;Credit card (automatic);80.7;No;> 2 anos;Automatico;0.02938390174701522;No
7803-XOCCZ;No;52;Month-to-month;Bank transfer (automatic);84.05;No;> 2 anos;Automatico;0.19869472232241556;No
8981-FJGLA;No;11;Month-to-month;Mailed check;78;No;< 1 ano;Manual;0.553032059863494;Yes
7218-HKQFK;No;2;Month-to-month;Electronic check;94.2;Yes;< 1 ano;Manual;0.72593558146189;Yes
2475-MROZF;No;30;Month-to-month;Credit card (automatic);95;No;> 2 anos;Automatico;0.4204058882795134;Yes
7531-GQHME;No;12;Month-to-month;Credit card (automatic);20.05;No;1-2 anos;Automatico;0.14822024301016107;No
6825-UYPFK;No;23;Month-to-month;Bank transfer (automatic);75.6;Yes;1-2 anos;Automatico;0.35242159851239857;Yes
8397-MVTAZ;No;34;Month-to-month;Electronic check;100.05;Yes;> 2 anos;Manual;0.5028137912110519;Yes
0750-EBAIU;No;52;One year;Electronic check;91.25;No;> 2 anos;Manual;0.13191060697404738;No
1403-GYAFU;No;70;Two year;Credit card (automatic);20.05;No;> 2 anos;Automatico;0.0038000144098582606;No
1297-VQDRP;Yes;68;One year;Credit card (automatic);107.15;No;> 2 anos;Automatico;0.1297557549238607;No
0621-HJWXJ;No;63;Month-to-month;Bank transfer (automatic);81.55;No;> 2 anos;Automatico;0.1359427487326349;No
8905-IAZPF;No;69;One year;Credit card (automatic);95.65;No;> 2 anos;Automatico;0.06331551158764584;No
6859-QNXIQ;No;72;Two year;Bank transfer (automatic);113.1;No;> 2 anos;Automatico;0.04384510998486407;No
2866-IKBTM;No;1;Month-to-month;Mailed check;19.55;No;< 1 ano;Manual;0.2607471172744185;No
1342-JPNKI;No;10;Month-to-month;Bank transfer (automatic);86.05;Yes;< 1 ano;Automatico;0.5337493439109502;Yes
2817-NTQDO;No;13;Month-to-month;Credit card (automatic);45.55;Yes;1-2 anos;Automatico;0.2529331928118721;No
6986-IJDHX;No;39;Month-to-month;Mailed check;86.3;Yes;> 2 anos;Manual;0.3676896425902072;Yes
2560-PPCHE;No;65;One year;Bank transfer (automatic);105.05;No;> 2 anos;Automatico;0.09149922360545033;No
7343-EOBEU;No;3;Month-to-month;Mailed check;23.6;No;< 1 ano;Manual;0.26874010978889784;Yes
3701-SFMUH;No;7;Month-to-month;Credit card (automatic);69.7;No;< 1 ano;Automatico;0.4480036657156963;Yes
7319-VENRZ;No;7;Month-to-month;Bank transfer (automatic);64.3;No;< 1 ano;Automatico;0.411655453413116;Yes
0308-IVGOK;No;11;One year;Credit card (automatic);40.4;No;< 1 ano;Automatico;0.10193470643520315;No
6522-YRBXD;Yes;35;Month-to-month;Electronic check;94.55;No;> 2 anos;Manual;0.5658614535858478;Yes
1423-BMPBQ;No;1;Month-to-month;Mailed check;19;No;< 1 ano;Manual;0.2578444403401116;No
2393-DIVAI;No;3;Month-to-month;Mailed check;20;No;< 1 ano;Manual;0.24974960701543908;No
0742-LAFQK;No;72;Two year;Electronic check;99.15;No;> 2 anos;Manual;0.04182469780197126;No
0795-LAFGP;No;71;Two year;Electronic check;90.4;No;> 2 anos;Manual;0.03432770687082235;No
0619-OLYUR;No;72;Two year;Credit card (automatic);111.9;No;> 2 anos;Automatico;0.04248332882963433;No
5512-IDZEI;No;46;One year;Electronic check;24.9;No;> 2 anos;Manual;0.02940567509422134;No
0215-BQKGS;No;30;Month-to-month;Credit card (automatic);84.3;No;> 2 anos;Automatico;0.35088950749105635;Yes
0374-FIUCA;No;65;Two year;Credit card (automatic);20.4;No;> 2 anos;Automatico;0.004569534473715861;No
5839-SUYVZ;No;16;Month-to-month;Credit card (automatic);74.55;No;1-2 anos;Automatico;0.4033614895113204;Yes
5173-ZXXXL;No;2;One year;Mailed check;19.95;No;< 1 ano;Manual;0.1102883416663111;No
2001-MCUUW;No;46;Two year;Electronic check;108.65;No;> 2 anos;Manual;0.12372985479403446;No
8207-DMRVL;No;72;Two year;Bank transfer (automatic);114.55;No;> 2 anos;Automatico;0.04554618772290361;No
9396-ZSFLL;No;15;Month-to-month;Mailed check;48.85;No;1-2 anos;Manual;0.3255174026704302;Yes
6464-KEXXH;No;8;Month-to-month;Credit card (automatic);25.25;No;< 1 ano;Automatico;0.1876596955220588;No
7134-MJPDY;Yes;66;One year;Credit card (automatic);102.85;No;> 2 anos;Automatico;0.12443840632809049;No
4881-JVQOD;Yes;10;Month-to-month;Bank transfer (automatic);34.55;No;< 1 ano;Automatico;0.30153824284562775;Yes
6797-UCJHZ;Yes;66;One year;Credit card (automatic);104.6;No;> 2 anos;Automatico;0.12977308524186887;No
5099-BAILX;Yes;43;Month-to-month;Bank transfer (automatic);110.75;Yes;> 2 anos;Automatico;0.5237824109197551;Yes
9931-KGHOA;No;46;Month-to-month;Bank transfer (automatic);55;No;> 2 anos;Automatico;0.12109937581315182;No
0195-IESCP;No;10;Month-to-month;Electronic check;85.25;Yes;< 1 ano;Manual;0.6099883884060731;Yes
1626-ERCMM;Yes;20;Month-to-month;Electronic check;94.55;Yes;1-2 anos;Manual;0.6881898854177387;Yes
2024-BASKD;No;1;Month-to-month;Mailed check;74.6;Yes;< 1 ano;Manual;0.6155314611838061;Yes
8100-PNJMH;No;68;Two year;Credit card (automatic);88.85;No;> 2 anos;Automatico;0.026386276014212715;No
7838-LAZFO;No;45;One year;Bank transfer (automatic);78.8;No;> 2 anos;Automatico;0.08992592190718736;No
4464-JCOLN;No;2;One year;Mailed check;19.85;Yes;< 1 ano;Manual;0.11001899411350688;No
2085-JVGAD;No;37;Month-to-month;Bank transfer (automatic);20.35;No;> 2 anos;Automatico;0.06797668137237663;No
3859-CVCET;No;4;Month-to-month;Mailed check;45.65;Yes;< 1 ano;Manual;0.39407216196231304;Yes
0822-GAVAP;No;2;Month-to-month;Electronic check;34.7;Yes;< 1 ano;Manual;0.340538344205774;Yes
7251-LJBQN;Yes;40;One year;Credit card (automatic);103.75;No;> 2 anos;Automatico;0.26631436200586245;Yes
5313-FPXWG;No;51;One year;Bank transfer (automatic);24.6;No;> 2 anos;Automatico;0.017730667792881426;No
0946-FKYTX;No;52;One year;Mailed check;30.1;No;> 2 anos;Manual;0.02753156121225308;No
2276-YDAVZ;No;3;Month-to-month;Credit card (automatic);75.1;Yes;< 1 ano;Automatico;0.5200131345485082;Yes
8338-QIUNR;No;72;Two year;Credit card (automatic);66.5;No;> 2 anos;Automatico;0.01258265907775172;No
1525-LNLOJ;No;66;Two year;Bank transfer (automatic);63.3;No;> 2 anos;Automatico;0.014202517442204125;No
6942-LBFDP;No;2;Month-to-month;Mailed check;20.55;No;< 1 ano;Manual;0.2592784017619393;No
1456-TWCGB;No;4;Month-to-month;Mailed check;49.25;No;< 1 ano;Manual;0.4179236567621819;Yes
3347-YJZZE;No;29;Month-to-month;Credit card (automatic);80.1;No;> 2 anos;Automatico;0.332826099178398;Yes
7929-DMBCV;No;20;Month-to-month;Mailed check;81;No;1-2 anos;Manual;0.4948389026857464;Yes
4312-KFRXN;No;72;Two year;Mailed check;25.4;No;> 2 anos;Manual;0.005719646765927581;No
8434-VGEQQ;No;61;Two year;Credit card (automatic);20.55;No;> 2 anos;Automatico;0.00527654723169278;No
5244-IRFIH;Yes;33;Month-to-month;Electronic check;94.5;Yes;> 2 anos;Manual;0.5826925026774252;Yes
6549-YMFAW;Yes;9;Month-to-month;Mailed check;21.25;No;< 1 ano;Manual;0.3023152561104605;Yes
4950-HKQTE;No;22;Two year;Mailed check;26.25;No;1-2 anos;Manual;0.03295382387695056;No
2753-JMMCV;No;65;Two year;Credit card (automatic);74.2;No;> 2 anos;Automatico;0.019735576417498246;No
1216-JWVUX;No;25;Month-to-month;Electronic check;75.5;No;> 2 anos;Manual;0.41402745328642787;Yes
2521-NPUZR;No;70;Two year;Credit card (automatic);101;No;> 2 anos;Automatico;0.034074852524998533;No
1307-TVUFB;Yes;42;Month-to-month;Bank transfer (automatic);79.35;No;> 2 anos;Automatico;0.32464121425746933;Yes
4018-PPNDW;No;61;Two year;Mailed check;24.1;No;> 2 anos;Manual;0.008101278084983924;No
2499-AJYUA;Yes;72;Two year;Credit card (automatic);110.8;No;> 2 anos;Automatico;0.06265066907067364;No
6919-ELBGL;Yes;72;Two year;Bank transfer (automatic);114.95;No;> 2 anos;Automatico;0.06969108715226732;No
3966-HRMZA;Yes;3;Month-to-month;Mailed check;75.05;No;< 1 ano;Manual;0.7011419102785357;Yes
6425-JWTDV;No;48;Two year;Mailed check;19.25;No;> 2 anos;Manual;0.011157627387171559;No
8405-IGQFX;No;63;One year;Credit card (automatic);90.05;No;> 2 anos;Automatico;0.0667683668061319;No
9477-LGWQI;No;70;Two year;Credit card (automatic);80.15;No;> 2 anos;Automatico;0.01950356700853295;No
3115-CZMZD;No;0;Two year;Mailed check;20.25;No;< 1 ano;Manual;0.05888155085780498;No
6683-VLCTZ;Yes;20;Month-to-month;Electronic check;98.55;Yes;1-2 anos;Manual;0.7112753122840185;Yes
7969-FFOWG;No;65;Two year;Mailed check;19.9;No;> 2 anos;Manual;0.006283905792732354;No
7817-OMJNA;No;14;One year;Bank transfer (automatic);20.4;No;1-2 anos;Automatico;0.05568099506957507;No
3900-AQPHZ;No;1;Month-to-month;Mailed check;19.9;Yes;< 1 ano;Manual;0.2626052509837684;Yes
5676-CFLYY;No;71;Two year;Credit card (automatic);73.35;No;> 2 anos;Automatico;0.015682077484653473;No
0285-INHLN;No;27;Month-to-month;Credit card (automatic);54.75;No;> 2 anos;Automatico;0.21051965412529028;No
5726-CVNYA;No;8;Two year;Mailed check;19.85;No;< 1 ano;Manual;0.044641133453339775;No
3009-JWMPU;No;62;One year;Electronic check;96.75;Yes;> 2 anos;Manual;0.11064599036169494;No
3138-BKYAV;No;6;Month-to-month;Electronic check;85.35;Yes;< 1 ano;Manual;0.6434708198968088;Yes
1820-TQVEV;No;1;Month-to-month;Electronic check;69.55;Yes;< 1 ano;Manual;0.582210824298696;Yes
2239-JALAW;No;58;One year;Bank transfer (automatic);103.25;Yes;> 2 anos;Automatico;0.10918033929553148;No
4853-RULSV;No;70;Two year;Credit card (automatic);104;Yes;> 2 anos;Automatico;0.036894871625282176;No
3551-GAEGL;No;34;One year;Bank transfer (automatic);30.4;No;> 2 anos;Automatico;0.037030398968177045;No
0115-TFERT;No;21;Month-to-month;Electronic check;111.2;Yes;1-2 anos;Manual;0.684408251302825;Yes
5318-YKDPV;No;43;Two year;Credit card (automatic);79.15;No;> 2 anos;Automatico;0.04756576401903433;No
0295-QVKPB;No;5;Month-to-month;Credit card (automatic);63.95;No;< 1 ano;Automatico;0.4264086659612512;Yes
3643-AHCFP;Yes;7;Month-to-month;Bank transfer (automatic);95.6;Yes;< 1 ano;Automatico;0.7196931155650949;Yes
9650-VBUOG;No;38;Two year;Credit card (automatic);25.05;No;> 2 anos;Automatico;0.01328226467980558;No
4250-WAROZ;Yes;60;Month-to-month;Electronic check;93.25;No;> 2 anos;Manual;0.34331747255047157;Yes
8184-WMOFI;No;62;One year;Credit card (automatic);71.4;No;> 2 anos;Automatico;0.04250116283478399;No
